YEAR,Fed_Interest_Payments,Inflation_Consumer_Prices_for_the_United_States,GDP,Federal_Debt_Total_Public_Debt_as_Percent_of_GDP,Unemployment_Rate,Federal_Government_Current_Tax_Receipts
1966,20.264,3.0150753768844,813.41375,39.687075,3.7916666666666665,103.05799999999999
1967,21.930999999999997,2.77278562259309,859.95625,38.7901275,3.841666666666667,107.917
1968,24.552,4.27179615288537,940.6465000000001,37.4218975,3.5583333333333336,127.217
1969,27.464,5.46238620028745,1017.615,35.4147,3.4916666666666667,142.951
1970,33.33,5.83825533848251,1073.3105,35.1693675,4.983333333333333,134.43
1971,35.235,4.29276668813051,1164.8497499999999,34.8759125,5.95,135.261
1972,37.629999999999995,3.27227824655283,1279.112,33.943025,5.6000000000000005,155.017
1973,43.291,6.17776006377038,1425.376,32.3839675,4.858333333333333,168.677
1974,47.983999999999995,11.0548048048048,1545.2425,31.10487,5.641666666666667,186.52100000000002
1975,52.467,9.14314686496535,1684.905,32.231184999999996,8.475,181.455
1976,58.896,5.74481263549085,1873.4125,33.4776575,7.7,212.392
1977,65.261,6.5016839947284,2081.825,33.165555,7.05,241.641
1978,79.112,7.63096383885606,2351.59875,32.4254425,6.066666666666666,279.825
1979,91.456,11.2544711292795,2627.32625,31.152237500000002,5.8500000000000005,316.862
1980,107.529,13.5492019749684,2857.3085,31.31418,7.175,344.494
1981,133.429,10.3347153402771,3207.04125,30.8851975,7.616666666666667,394.288
1982,152.68099999999998,6.13142700027493,3343.7892500000003,33.4804925,9.708333333333334,371.76599999999996
1983,166.971,3.21243523316065,3634.0365,36.8018525,9.6,379.48400000000004
1984,193.827,4.30053547523429,4037.614,38.4406675,7.508333333333333,409.681
1985,213.74200000000002,3.54564415209365,4338.9805,41.77682,7.191666666666666,442.913
1986,224.204,1.89804772234276,4579.6325,45.7647975,7.0,462.034
1987,232.315,3.6645632175169,4855.2162499999995,48.0750475,6.175,526.41575
1988,247.91500000000002,4.07774110744413,5236.438,49.2729375,5.491666666666667,549.808
1989,269.65999999999997,4.82700303008944,5641.5795,50.29316,5.258333333333334,601.144
1990,289.046,5.39795643990325,5963.1445,53.62628,5.616666666666667,620.563
1991,304.358,4.23496396453849,6158.12925,58.7273125,6.8500000000000005,617.1157499999999
1992,306.887,3.02881967814969,6520.32725,61.7491875,7.491666666666667,645.42425
1993,311.439,2.95165696638559,6858.5585,63.8878375,6.908333333333334,699.26775
1994,320.84000000000003,2.60744159215453,7287.2365,64.2029625,6.1000000000000005,763.46325
1995,352.326,2.80541968853662,7639.74925,64.7243825,5.591666666666666,825.6972499999999
1996,359.988,2.93120419993441,8073.12175,64.4982675,5.408333333333334,916.95775
1997,365.6,2.33768993730735,8577.5525,63.17769,4.941666666666666,1015.0907500000001
1998,365.569,1.55227909874364,9062.81675,61.3389325,4.5,1095.258
1999,352.18375000000003,2.18802719697358,9631.17175,58.9942875,4.216666666666667,1174.53725
2000,353.72825,3.37685727149929,10250.952000000001,55.61407,3.966666666666667,1288.53125
2001,331.2255,2.82617111885407,10581.929,54.931445,4.741666666666666,1226.82275
2002,301.27125,1.58603162650601,10929.108250000001,56.6450625,5.783333333333334,1053.18425
2003,291.72075,2.27009497336115,11456.4495,58.717535,5.991666666666667,1053.864
2004,306.022,2.67723669309172,12217.19575,60.1163825,5.541666666666667,1140.5965
2005,344.37475,3.3927468454955,13039.197,60.8082975,5.083333333333333,1367.82325
2006,372.212,3.22594410070404,13815.583,61.4843825,4.608333333333333,1534.7755
2007,407.978,2.85267248150138,14474.227,62.098165,4.616666666666666,1607.65675
2008,388.3975,3.839100296651,14769.86175,67.13855,5.8,1489.516
2009,354.53275,-0.355546266299747,14478.06725,80.9604425,9.283333333333333,1123.66525
2010,381.48725,1.6400434423899,15048.971,88.9541725,9.608333333333334,1273.59775
2011,425.44175,3.156841568622,15599.7315,93.94041,8.933333333333334,1478.4035
2012,422.624,2.06933726526067,16253.970000000001,98.3683875,8.075,1572.9502499999999
2013,416.32574999999997,1.46483265562717,16880.683250000002,99.82917499999999,7.358333333333333,1744.8855
2014,439.09225000000004,1.62222297740817,17608.13825,101.09735500000001,6.158333333333334,1900.4495
2015,429.28225,0.118627135552451,18295.019,100.267225,5.2749999999999995,2025.7095
2016,454.3035,1.26158320570536,18804.91325,103.9553875,4.875,2021.1309999999999
2017,476.69525,2.13011000365961,19612.1025,102.5260725,4.358333333333333,1999.804
2018,540.62925,2.44258329692817,20656.5155,103.8065925,3.891666666666666,2028.43875
2019,577.364,1.81221007526021,21521.395,104.5047525,3.6750000000000003,2113.1937500000004
2020,521.387,1.23358439630629,21322.9495,122.6031025,8.091666666666667,2158.24675
2021,574.5705,4.69785886363742,23594.03075,121.599,5.3500000000000005,2638.87975
2022,725.6875,8.00279982052121,25744.10825,119.772345,3.6333333333333333,3102.2574999999997
